Temporada,Año,Sexo
Invierno,1924,460
Invierno,1928,582
Invierno,1932,352
Invierno,1936,895
Invierno,1948,1075
Invierno,1952,1088
Invierno,1956,1307
Invierno,1960,1116
Invierno,1964,1778
Invierno,1968,1891
Invierno,1972,1655
Invierno,1976,1861
Invierno,1980,1746
Invierno,1984,2134
Invierno,1988,2639
Invierno,1992,3436
Invierno,1994,3160
Invierno,1998,3605
Invierno,2002,4109
Invierno,2006,4382
Invierno,2010,4402
Invierno,2014,4891
Verano,1896,380
Verano,1900,1936
Verano,1904,1301
Verano,1906,1733
Verano,1908,3101
Verano,1912,4040
Verano,1920,4292
Verano,1924,5233
Verano,1928,4992
Verano,1932,2969
Verano,1936,6506
Verano,1948,6405
Verano,1952,8270
Verano,1956,5127
Verano,1960,8119
Verano,1964,7702
Verano,1968,8588
Verano,1972,10304
Verano,1976,8641
Verano,1980,7191
Verano,1984,9454
Verano,1988,12037
Verano,1992,12977
Verano,1996,13780
Verano,2000,13821
Verano,2004,13443
Verano,2008,13602
Verano,2012,12920
Verano,2016,13688
