Año,Edad,Peso
1896,20.0,78.6
1896,21.0,76.58823529411765
1896,23.0,59.0
1896,24.0,56.0
1896,26.0,70.0
1896,27.0,72.0
1900,17.0,68.5
1900,18.0,78.75
1900,19.0,87.0
1900,20.0,81.375
1900,21.0,72.83333333333333
1900,22.0,60.5
1900,23.0,73.2
1900,24.0,70.375
1900,25.0,75.0
1900,26.0,74.66666666666667
1900,27.0,82.25
1900,28.0,65.75
1900,31.0,72.0
1900,32.0,95.0
1900,46.0,67.0
1904,18.0,62.5
1904,19.0,68.78571428571429
1904,20.0,77.52941176470588
1904,21.0,60.0
1904,22.0,62.833333333333336
1904,23.0,70.41666666666667
1904,24.0,76.28571428571429
1904,25.0,75.75
1904,26.0,70.4375
1904,27.0,68.5
1904,28.0,66.4
1904,29.0,58.0
1904,30.0,78.0
1904,31.0,72.0
1904,36.0,95.0
1904,40.0,95.0
1906,13.0,71.0
1906,16.0,86.0
1906,17.0,80.5
1906,18.0,80.0
1906,19.0,62.0
1906,20.0,79.18181818181819
1906,21.0,67.96296296296296
1906,22.0,71.0909090909091
1906,23.0,78.46153846153847
1906,24.0,70.0
1906,25.0,79.73684210526316
1906,26.0,85.2
1906,27.0,74.71428571428571
1906,28.0,67.6
1906,30.0,76.6
1906,32.0,84.28571428571429
1906,33.0,66.0
1906,34.0,56.0
1906,36.0,95.0
1906,37.0,72.0
1906,39.0,80.0
1906,43.0,80.0
1906,50.0,89.0
1906,52.0,67.0
1908,16.0,69.71428571428571
1908,18.0,81.0
1908,19.0,75.46666666666667
1908,20.0,77.0204081632653
1908,21.0,71.63157894736842
1908,22.0,72.28813559322033
1908,23.0,72.26530612244898
1908,24.0,73.74193548387096
1908,25.0,73.65
1908,26.0,68.83333333333333
1908,27.0,84.11111111111111
1908,28.0,82.125
1908,29.0,73.125
1908,30.0,89.0
1908,31.0,83.25
1908,32.0,100.75
1908,33.0,79.0
1908,34.0,78.57142857142857
1908,36.0,100.33333333333333
1908,37.0,76.0
1908,38.0,95.0
1908,39.0,68.0
1908,40.0,95.0
1908,41.0,79.66666666666667
1908,44.0,75.0
1912,17.0,62.0
1912,18.0,70.66666666666667
1912,19.0,72.24324324324324
1912,20.0,76.18461538461538
1912,21.0,70.07575757575758
1912,22.0,70.37857142857143
1912,23.0,69.91044776119404
1912,24.0,72.88
1912,25.0,71.02380952380952
1912,26.0,73.5
1912,27.0,72.11666666666666
1912,28.0,82.89655172413794
1912,29.0,72.66666666666667
1912,30.0,65.92307692307692
1912,31.0,84.0
1912,32.0,80.27272727272727
1912,33.0,83.375
1912,34.0,84.7
1912,35.0,82.0
1912,36.0,115.0
1912,37.0,59.5
1912,38.0,73.33333333333333
1912,42.0,95.0
1912,45.0,80.0
1920,16.0,57.0
1920,17.0,72.0
1920,18.0,63.875
1920,19.0,71.76
1920,20.0,71.77083333333333
1920,21.0,70.70270270270271
1920,22.0,76.55405405405405
1920,23.0,72.3103448275862
1920,24.0,69.78048780487805
1920,25.0,68.25925925925925
1920,26.0,71.25806451612904
1920,27.0,70.89285714285714
1920,28.0,72.23529411764706
1920,29.0,72.88461538461539
1920,30.0,74.76666666666667
1920,31.0,76.56666666666666
1920,32.0,69.33333333333333
1920,33.0,70.0
1920,34.0,69.25
1920,35.0,79.1923076923077
1920,36.0,90.66666666666667
1920,37.0,89.0
1920,38.0,83.25
1920,39.0,113.0
1920,40.0,109.0
1920,41.0,108.2
1920,42.0,100.0
1920,43.0,97.0
1920,44.0,115.0
1920,53.0,80.0
1920,58.0,56.0
1924,11.0,45.0
1924,16.0,57.0
1924,17.0,63.5
1924,18.0,62.25
1924,19.0,70.63157894736842
1924,20.0,71.375
