Año,Medalla,Sexo
1896,Bronce,38
1896,Oro,62
1896,Plata,43
1900,Bronce,175
1900,Oro,201
1900,Plata,228
1904,Bronce,150
1904,Oro,173
1904,Plata,163
1906,Bronce,145
1906,Oro,157
1906,Plata,156
1908,Bronce,256
1908,Oro,294
1908,Plata,281
1912,Bronce,300
1912,Oro,326
1912,Plata,315
1920,Bronce,367
1920,Oro,493
1920,Plata,448
1924,Bronce,311
1924,Oro,332
1924,Plata,319
1928,Bronce,281
1928,Oro,275
1928,Plata,267
1932,Bronce,232
1932,Oro,261
1932,Plata,246
1936,Bronce,330
1936,Oro,348
1936,Plata,347
1948,Bronce,325
1948,Oro,330
1948,Plata,332
1952,Bronce,347
1952,Oro,351
1952,Plata,335
1956,Bronce,348
1956,Oro,353
1956,Plata,342
1960,Bronce,357
1960,Oro,359
1960,Plata,342
1964,Bronce,401
1964,Oro,408
1964,Plata,406
1968,Bronce,421
1968,Oro,425
1968,Plata,410
1972,Bronce,485
1972,Oro,474
1972,Plata,455
1976,Bronce,518
1976,Oro,508
1976,Plata,505
1980,Bronce,542
1980,Oro,529
1980,Plata,531
1984,Bronce,576
1984,Oro,571
1984,Plata,551
1988,Bronce,637
1988,Oro,607
1988,Plata,601
1992,Bronce,710
1992,Oro,663
1992,Plata,657
1994,Bronce,112
1994,Oro,110
1994,Plata,109
1996,Bronce,629
1996,Oro,608
1996,Plata,605
1998,Bronce,150
1998,Oro,145
1998,Plata,145
2000,Bronce,680
2000,Oro,663
2000,Plata,661
2002,Bronce,159
2002,Oro,162
2002,Plata,157
2004,Bronce,677
2004,Oro,664
2004,Plata,660
2006,Bronce,175
2006,Oro,176
2006,Plata,175
2008,Bronce,710
2008,Oro,671
2008,Plata,667
2010,Bronce,171
2010,Oro,174
2010,Plata,175
2012,Bronce,679
2012,Oro,632
2012,Plata,630
2014,Bronce,198
2014,Oro,202
2014,Plata,197
2016,Bronce,703
2016,Oro,665
2016,Plata,655
